Date,ICO composite indicator,"Colombian
 Milds",Other Milds,"Brazilian
 Naturals",Robustas,Target,Rainfall - (MM),Bond _Value,Tea_Price,Starbucks
2001-05-01,49.38,80.92,69.22,57.19,29.55,22.708272681818176,275.035,5.368045454545455,66.211,4.935227272727271
2001-06-01,46.53,74.38,63.9,51.86,29.16,22.98095214285714,245.99099999999999,5.2540000000000004,64.8505,5.126071428571429
2001-07-01,43.07,69.7,58.72,46.43,27.42,23.458333619047615,279.418,5.199761904761906,69.83900000000001,5.037857142857144
2001-08-01,42.76,73.5,59.71,46.49,25.81,24.560608782608696,165.71,4.961,67.118,4.518695652173913
2001-09-01,41.17,68.8,58.06,42.42,24.27,22.7869334,229.233,4.734533333333334,63.0365,3.8460000000000005
2001-10-01,42.21,62.87,56.4,38.63,23.23,21.12678256521739,268.325,4.540739130434783,62.583,4.1448913043478255
2001-11-01,44.24,64.89,58.85,42.82,23.67,22.89985733333333,184.705,4.606190476190476,63.49,4.519523809523809
2001-12-01,43.35,62.33,56.72,42.21,24.42,24.632499850000002,213.578,5.0477,64.8505,4.7815
2002-01-01,43.46,62.51,58.25,43.14,22.81,27.915476238095238,65.4767,4.991619047619047,66.211,5.51797619047619
2002-02-01,44.3,62.67,59.11,43.17,24.37,28.329420631578948,76.123,4.903263157894736,68.4785,5.48921052631579
2002-03-01,49.49,68.27,64.47,48.7,29.06,29.68424975,233.81400000000002,5.272900000000001,69.83900000000001,5.848625
2002-04-01,50.2,69.63,65.29,49.52,29.31,32.2436819090909,289.947,5.193863636363636,67.5715,6.1265909090909085
2002-05-01,47.3,65.95,61.4,45.39,28.31,34.663363909090904,384.246,5.140818181818181,63.0365,5.781136363636364
2002-06-01,45.56,62.94,58.56,43.0,28.42,33.74330025,423.31699999999995,4.89495,65.75750000000001,6.111500000000001
2002-07-01,44.7,60.6,56.48,43.3,28.6,33.01745422727272,324.055,4.607909090909092,67.118,5.371363636363636
2002-08-01,42.79,58.1,54.27,40.18,27.88,33.99327231818182,214.976,4.240363636363637,68.025,5.027045454545455
2002-09-01,47.96,64.15,60.66,44.53,32.08,31.984899800000004,229.595,3.8564499999999997,70.74600000000001,5.136625
2002-10-01,50.79,67.92,65.73,46.08,33.32,31.464217521739126,240.18200000000002,3.9145217391304343,70.2925,5.624782608695653
2002-11-01,54.68,70.7,69.87,49.25,37.89,30.9694998,218.46900000000002,4.03065,68.932,5.5615000000000006
2002-12-01,51.69,65.38,64.16,46.55,38.06,31.14890485714285,166.91,4.020190476190477,66.6645,5.2075000000000005
2003-01-01,54.04,67.27,65.57,49.31,41.18,30.980333523809524,66.7683,4.024047619047619,68.4785,5.301071428571428
2003-02-01,54.07,67.47,66.41,48.97,40.67,30.878421421052632,101.01700000000001,3.889631578947368,64.8505,5.62907894736842
2003-03-01,49.61,62.15,61.75,43.77,37.17,30.920381142857142,180.055,3.795428571428571,68.4785,6.125
2003-04-01,51.87,64.4,64.69,48.55,37.42,31.183523857142852,271.718,3.938380952380952,68.025,6.309880952380953
2003-05-01,53.19,65.73,66.26,51.12,37.8,31.925475999999996,258.16900000000004,3.5583809523809515,68.932,5.876904761904762
2003-06-01,48.9,61.61,61.04,46.88,34.21,33.625142952380955,470.11300000000006,3.323571428571429,68.025,6.082619047619048
2003-07-01,50.89,64.88,62.95,49.5,35.35,34.459227272727276,240.46400000000003,3.9518636363636364,70.2925,6.683295454545455
2003-08-01,52.22,65.65,63.89,52.48,36.3,34.09838123809524,239.774,4.432476190476191,70.2925,6.725595238095239
2003-09-01,54.1,67.55,66.41,54.86,37.35,33.327857,238.737,4.261952380952381,71.653,7.302738095238096
2003-10-01,51.72,66.17,64.29,52.81,35.88,32.509781869565224,255.195,4.264521739130435,75.73450000000001,7.572173913043479
2003-11-01,49.8,64.39,62.27,50.73,34.11,32.06052636842106,329.392,4.294368421052632,73.467,7.939473684210526
2003-12-01,52.44,66.68,64.85,54.79,35.9,31.569909181818183,157.808,4.259090909090909,72.10650000000001,8.018636363636363
2004-01-01,58.68,73.76,72.73,62.06,39.84,31.193099550000007,96.4524,4.129300000000001,73.9205,8.636375
2004-02-01,59.87,76.53,76.2,65.52,37.05,31.554947105263157,143.02,4.068578947368421,74.8275,9.359605263157896
2004-03-01,60.8,77.97,78.06,66.97,36.7,34.562739391304355,146.47899999999998,3.814391304347827,72.10650000000001,9.36195652173913
2004-04-01,58.8,75.22,75.44,63.7,36.37,36.589952238095236,293.301,4.327619047619048,69.83900000000001,9.680357142857142
2004-05-01,59.91,77.17,76.99,65.16,36.56,30.933800150000003,373.935,4.70285,68.932,9.681375
2004-06-01,64.28,82.51,82.21,69.61,39.87,27.608571428571434,206.215,4.722999999999999,68.4785,10.700000000000001
2004-07-01,58.46,76.13,74.94,62.89,36.02,26.040476190476188,333.434,4.478809523809524,69.3855,11.576666666666666
2004-08-01,56.98,75.35,73.61,61.75,33.91,25.419545181818183,243.497,4.269272727272727,71.1995,11.103068181818182
2004-09-01,61.47,81.02,80.47,68.9,34.24,25.447143,258.164,4.114714285714287,74.374,11.237976190476193
2004-10-01,61.1,83.02,80.55,69.91,31.67,27.102857095238093,285.464,4.082809523809523,68.4785,12.314047619047617
